# Редиректы старых детальных страниц олимпиад (404 из Я.Метрики июн-сен 2026). ВСЕ 127 согласованы с пользователем 2026-09-07.
# Формат: визиты | old_slug | target (target подставляется как /olimpiady/<target>/ )
#
  17 | olimpiada-profilaktika-deviantnogo-povedeniya                            | pedagogi/vospitatelnaya-rabota
  16 | olimpiada-otsenivanie-i-kontrol-v-obrazovanii                            | pedagogi/metodist
  15 | olimpiada-psikhologicheskoe-soprovozhdenie-ovz | pedagogi/spetsialnaya-psihologiya
  15 | olimpiada-postanovka-zvukov                                              | pedagogi/logopediya
  15 | olimpiada-chrezvychaynye-situatsii-i-zaschita-naseleniya                 | pedagogi/obzh
  14 | olimpiada-prepodavanie-russkogo-yazyka-v-sredney-shkole                  | pedagogi/russkiy-yazyk
  14 | olimpiada-metodika-prepodavaniya-matematiki-v-nachalnoy-shkole           | pedagogi/matematika
  14 | olimpiada-aktivnye-metody-obucheniya                                     | pedagogi/metodist
  13 | olimpiada-diagnostika-i-korrektsiya-v-rabote-psihologa                   | pedagogi/pedagog-psiholog
  12 | olimpiada-rabota-sotsialnogo-pedagoga-s-semyoy                           | pedagogi/socialnaya-pedagogika
  12 | olimpiada-metodika-prepodavaniya-obschestvoznaniya                       | pedagogi/obshchestvoznanie
  12 | olimpiada-diagnostika-rechevogo-razvitiya                                | pedagogi/logopediya
  11 | olimpiada-metodika-prepodavaniya-istorii-v-shkole                        | pedagogi/istoriya
  11 | olimpiada-korrektsionnaya-rabota-defektologa                             | pedagogi/defektologiya
  11 | olimpiada-hudozhestvennoe-razvitie-mladshih-shkolnikov                   | pedagogi/izo
  10 | olimpiada-vneurochnaya-deyatelnost-v-obrazovanii                         | pedagogi/administratsiya-upravlenie
  10 | olimpiada-prepodavanie-fizicheskoy-kultury-v-shkole                      | pedagogi/fizkultura
  10 | olimpiada-osnovy-korrektsionnoy-pedagogiki                               | pedagogi/korrektsionnaya-pedagogika
  10 | olimpiada-metodika-prepodavaniya-predmeta-okruzhayuschiy-mir | pedagogi/okruzhayushchiy-mir
  10 | olimpiada-formirovanie-chitatelskoy-gramotnosti-v-1-4-klassah            | pedagogi/literatura
   9 | olimpiada-pedagog-organizator-metodika-i-praktika                        | pedagogi/pedagog-organizator
   9 | olimpiada-normativno-pravovye-osnovy-inklyuzii                           | pedagogi/inklyuzivnoe-obrazovanie
   9 | olimpiada-himicheskiy-eksperiment-i-bezopasnost-v-shkole                 | pedagogi/himiya
   9 | olimpiada-fizicheskiy-eksperiment-i-laboratornyy-praktikum               | pedagogi/fizika
   8 | olimpiada-vozrastnaya-psihologiya-v-obrazovanii                          | pedagogi/pedagog-psiholog
   8 | olimpiada-tsifrovye-tehnologii-i-ikt-kompetentsii-pedagoga               | pedagogi/tsifrovye-tehnologii-obrazovanie
   8 | olimpiada-organicheskaya-i-neorganicheskaya-himiya-metodika-obucheniya   | pedagogi/himiya
   8 | olimpiada-obschestvo-i-chelovek-sovremennye-podhody-k-prepodavaniyu      | pedagogi/obshchestvoznanie
   8 | olimpiada-metodika-prepodavaniya-inostrannyh-yazykov-v-shkole            | pedagogi/inostrannye-yazyki
   8 | olimpiada-istoriya-rossii-klyuchevye-periody-i-metodika-izucheniya       | pedagogi/istoriya
   7 | olimpiada-vospitatelnaya-deyatelnost-v-gpd                               | pedagogi/vospitatel-gpd
   7 | olimpiada-sovremennye-podhody-k-obucheniyu-fizike                        | pedagogi/fizika
   7 | olimpiada-podvizhnye-i-sportivnye-igry-v-nachalnoy-shkole                | pedagogi/fizkultura
   7 | olimpiada-osnovy-inklyuzivnogo-obrazovaniya                              | pedagogi/inklyuzivnoe-obrazovanie
   7 | olimpiada-osnovy-defektologii-v-obrazovanii                              | pedagogi/defektologiya
   7 | olimpiada-organizatsiya-vospitatelnyh-meropriyatiy                       | pedagogi/vospitatelnaya-rabota
   7 | olimpiada-metodika-raboty-vospitatelya-gpd                               | pedagogi/vospitatel-gpd
   7 | olimpiada-metodika-prepodavaniya-himii-v-shkole                          | pedagogi/himiya
   7 | olimpiada-geografiya-rossii-i-mira-sovremennye-podhody                   | pedagogi/geografiya
   6 | olimpiada-vseobschaya-istoriya-metodika-prepodavaniya                    | pedagogi/istoriya
   6 | olimpiada-upravlenie-obrazovatelnoy-organizatsiey                        | pedagogi/administratsiya-upravlenie
   6 | olimpiada-tsifrovye-tekhnologii-na-uroke                                 | pedagogi/tsifrovye-tehnologii-obrazovanie
   6 | olimpiada-psihologo-pedagogicheskoe-soprovozhdenie                       | pedagogi/pedagog-psiholog
   6 | olimpiada-organizatsiya-inklyuzivnogo-obucheniya                         | pedagogi/inklyuzivnoe-obrazovanie
   6 | olimpiada-muzykalnoe-razvitie-mladshih-shkolnikov                        | pedagogi/muzyka
   5 | olimpiada-zdorovesberezhenie-i-zozh-na-urokah-fizkultury                 | pedagogi/fizkultura
   5 | olimpiada-vospitatelnaya-rabota-v-shkole                                 | pedagogi/vospitatelnaya-rabota
   5 | olimpiada-psikhodiagnostika-detey-ovz                                    | pedagogi/spetsialnaya-psihologiya
   5 | olimpiada-programmirovanie-i-algoritmizatsiya-v-shkolnom-kurse           | pedagogi/programmirovanie
   5 | olimpiada-osnovy-tyutorskogo-soprovozhdeniya                             | pedagogi/tyutorstvo
   5 | olimpiada-obuchenie-grammatike-i-leksike-inostrannogo-yazyka             | pedagogi/inostrannye-yazyki
   5 | olimpiada-monitoring-kachestva-obrazovaniya                              | pedagogi/metodist
   5 | olimpiada-metodika-prepodavaniya-biologii-v-shkole                       | pedagogi/biologiya
   5 | olimpiada-genetika-i-tsitologiya-v-shkolnom-obrazovanii                  | pedagogi/biologiya
   5 | olimpiada-estestvennonauchnoe-obrazovanie-v-nachalnoy-shkole             | pedagogi/okruzhayushchiy-mir
   4 | olimpiada-sovremennye-tehnologii-na-urokah-russkogo-yazyka-i-literatury  | pedagogi/russkiy-yazyk
   4 | olimpiada-rabota-deti-narusheniya-razvitiya                              | pedagogi/defektologiya
   4 | olimpiada-pravo-i-politika-v-shkolnom-kurse-obschestvoznaniya            | pedagogi/obshchestvoznanie
   4 | olimpiada-metodika-prepodavaniya-tehnologii-v-shkole                     | pedagogi/tehnologiya
   4 | olimpiada-metodika-prepodavaniya-izo-v-nachalnoy-shkole | pedagogi/izo
   4 | olimpiada-metodika-prepodavaniya-fizicheskoy-kultury-v-nachalnoy-shkole  | pedagogi/fizkultura
   4 | olimpiada-konstruirovanie-i-modelirovanie-na-urokah-tehnologii           | pedagogi/tehnologiya
   4 | olimpiada-esteticheskoe-vospitanie-sredstvami-iskusstva                  | pedagogi/vospitatelnaya-rabota
   4 | olimpiada-ekologiya-i-evolyutsiya-v-shkolnom-kurse-biologii              | pedagogi/biologiya
   4 | olimpiada-distantsionnoe-smeshannoe-obuchenie                            | pedagogi/tsifrovye-tehnologii-obrazovanie
   4 | olimpiada-diagnostika-pismennoj-rechi                                    | pedagogi/logopediya
   3 | olimpiada-sportivnye-igry-i-sorevnovaniya-v-shkole                       | pedagogi/fizkultura
   3 | olimpiada-sovremennye-tehnologii-obucheniya-angliyskomu-v-nachalnoy-shkole | pedagogi/inostrannye-yazyki
   3 | olimpiada-rabota-s-roditelyami-v-klassnom-rukovodstve                    | pedagogi/klassnoe-rukovodstvo
   3 | olimpiada-profilaktika-bezopasnost-v-shkole                              | pedagogi/obzh
   3 | olimpiada-proektirovanie-obrazovatelnyh-programm                         | pedagogi/metodist
   3 | olimpiada-prepodavanie-informatiki-v-shkole-po-fgos                      | pedagogi/informatika
   3 | olimpiada-organizatsiya-raboty-v-gruppe-prodlyonnogo-dnya                | pedagogi/vospitatel-gpd
   3 | olimpiada-obsledovanie-zvukoproiznosheniya                               | pedagogi/logopediya
   3 | olimpiada-obschestvovedcheskiy-blok-kursa-okruzhayuschiy-mir             | pedagogi/okruzhayushchiy-mir
   3 | olimpiada-narodnoe-i-dekorativno-prikladnoe-iskusstvo-na-urokah-izo      | pedagogi/izo
   3 | olimpiada-mirovaya-hudozhestvennaya-kultura-metodika-prepodavaniya       | pedagogi/mhk
   3 | olimpiada-metodika-prepodavaniya-muzyki-v-nachalnoy-shkole               | pedagogi/muzyka
   3 | olimpiada-individualizatsiya-obrazovaniya-i-tyutorstvo                   | pedagogi/tyutorstvo
   3 | olimpiada-formirovanie-inoyazychnoy-kompetentsii-mladshih-shkolnikov     | pedagogi/inostrannye-yazyki
   3 | olimpiada-avtomatizatsiya-zvukov                                         | pedagogi/logopediya
   2 | olimpiada-tyutorskie-tehnologii-v-praktike                               | pedagogi/tyutorstvo
   2 | olimpiada-tvorcheskie-proekty-i-prakticheskaya-deyatelnost-na-urokah-tehnologii | pedagogi/tehnologiya
   2 | olimpiada-pervaya-pomosch-i-meditsinskaya-podgotovka-v-obzh              | pedagogi/obzh
   2 | olimpiada-osnovy-sotsialnoy-pedagogiki                                   | pedagogi/socialnaya-pedagogika
   2 | olimpiada-osnovy-klassnogo-rukovodstva                                   | pedagogi/klassnoe-rukovodstvo
   2 | olimpiada-obshchee-nedorazvitie-rechi                                    | pedagogi/logopediya
   2 | olimpiada-muzykalnoe-nasledie-i-sovremennaya-muzyka-na-urokah-v-nachalnoy-shkole | pedagogi/muzyka
   2 | olimpiada-metodika-prepodavaniya-tehnologii-v-nachalnoy-shkole           | pedagogi/tehnologiya
   2 | olimpiada-metodika-obucheniya-angliyskomu-yazyku-v-nachalnoy-shkole      | pedagogi/inostrannye-yazyki
   2 | olimpiada-formirovanie-matematicheskogo-myshleniya-mladshih-shkolnikov   | pedagogi/matematika
   2 | olimpiada-formirovanie-leksiko-grammaticheskogo-stroya                   | pedagogi/logopediya
   2 | olimpiada-differentsiatsiya-zvukov                                       | pedagogi/logopediya
   1 | olimpiada-strategicheskoe-razvitie-obrazovatelnogo-uchrezhdeniya         | pedagogi/administratsiya-upravlenie
   1 | olimpiada-spetsialnaya-pedagogika-i-nozologii                            | pedagogi/defektologiya
   1 | olimpiada-razvitie-rechi-na-urokah-russkogo-yazyka-v-nachalnoy-shkole    | pedagogi/russkiy-yazyk
   1 | olimpiada-mezhkulturnaya-kompetentsiya-i-sovremennye-tehnologii-v-obuchenii-yazykam | pedagogi/inostrannye-yazyki
   1 | olimpiada-metodika-prepodavaniya-muzyki-v-shkole                         | pedagogi/muzyka
   1 | olimpiada-metodika-prepodavaniya-geografii-v-shkole                      | pedagogi/geografiya
   1 | olimpiada-metodika-obucheniya-russkomu-yazyku-v-nachalnoy-shkole         | pedagogi/russkiy-yazyk
   1 | olimpiada-metodika-literaturnogo-obrazovaniya-v-shkole                   | pedagogi/literatura
   1 | olimpiada-kartografiya-i-geoinformatika-v-shkolnom-obrazovanii           | pedagogi/geografiya
   1 | olimpiada-informatsionnaya-bezopasnost-obrazovanie                       | pedagogi/tsifrovye-tehnologii-obrazovanie
   1 | olimpiada-formirovanie-gramotnosti-mladshih-shkolnikov                   | pedagogi/russkiy-yazyk
   1 | olimpiada-dizayn-i-dekorativno-prikladnoe-tvorchestvo-na-urokah-tehnologii | pedagogi/izo
   1 | olimpiada-detskaya-literatura-i-krug-chteniya-mladshih-shkolnikov        | pedagogi/literatura
   1 | olimpiada-algebra-i-nachala-analiza-metodika-prepodavaniya               | pedagogi/matematika
